cedula;nombre;edad;correo;telefono;declaraRenta;haEstadoListaNegra;esPrePensionado;perteneceInsPublica;institucionPublica;tieneCondecoracion;tieneHijosInpec;tieneFamPolicia;esElMayorEdad;observacionDisciplinaria;semanas;ciudadNacimiento;ciudadResidencia;alcanzoEdadRPM;fondo;estado
2229639020;Carlos Jorge Rueda;51;alberto54@example.com;3140293780;False;False;False;False;inpec;True;False;False;True;False;364;Palestina;Manaure Balcón del Cesar;False;extranjero;null
8879265157;Yerson Martínez López;85;jose80@example.com;3026090550;True;False;True;True;inpec;False;True;True;True;True;495;Viotá;Ovejas;False;colfondos;null
4749278914;Manuela Katherine Castillo García;49;paolavasquez@example.com;3172967359;False;True;False;True;minsalud;True;False;False;False;True;339;Fómeque;Gachantivá;True;extranjero;null
6514403834;Elizabeth Moreno;64;wrios@example.com;3153686848;True;False;True;True;inpec;True;True;True;True;False;513;Rionegro;Coyaima;True;extranjero;null
7883567034;Walter Torres Guerrero;88;pcastro@example.net;3126346386;True;True;True;False;policia;False;False;False;True;False;715;Palermo;La Primavera;True;proteccion;null
4601028187;Juan Castaño Beltrán;28;vallejoestefania@example.net;3091468096;False;False;False;True;armada;False;False;False;False;False;436;Acandí;Quebradanegra;False;oldmutual;null
3526396869;Luisa María Ruiz Monsalve;70;fabian58@example.org;3087673047;False;False;True;False;mininterior;True;True;True;False;True;1115;Chía;Nátaga;True;extranjero;null
5625675688;Óscar Marín Cardona;59;truiz@example.com;3014937770;True;False;False;True;minsalud;True;True;False;False;False;345;Tuchín;Espinal;False;extranjero;null
8401633833;Marisol María Rojas Ochoa;84;delgadofernanda@example.net;3077718148;False;False;False;True;armada;False;True;False;True;False;686;San José;El Roble;True;proteccion;null
7021073290;Alejandro Alfonso López;39;luciamartinez@example.org;3056245909;True;True;True;True;policia;False;False;False;True;True;925;Macaravita;Córdoba;True;proteccion;null
4213214009;Víctor Rodríguez Naranjo;37;gloria28@example.net;3032762858;False;True;False;False;minsalud;False;True;True;True;False;0;Nóvita;Galán;False;porvenir;null
3943890845;Gustavo Galindo;68;estherjimenez@example.com;3061413265;True;True;True;True;minsalud;True;True;True;True;True;838;Nátaga;Santa Rosalía;False;colfondos;null
1545405000;Ever Parra;23;carlos06@example.net;3179993083;False;True;False;True;inpec;False;False;True;False;True;565;Pijiño del Carmen;Gualmatán;False;extranjero;null
2317125052;Leonor Galeano;46;ksalcedo@example.com;3177350733;True;True;False;True;mininterior;True;True;True;False;False;623;Tibú;Hato;True;porvenir;null
7742170057;Diego López;72;adolfo31@example.net;3068741823;False;False;True;False;minsalud;True;True;False;False;True;1149;Pitalito;Anzá;True;extranjero;null
1237743979;Deisy García Ariza;32;bravovictor@example.net;3187157439;False;True;False;True;armada;True;True;True;False;False;167;Támesis;Támesis;True;porvenir;null
5605212164;Lina María Rueda;73;ncastro@example.com;3072148857;False;True;False;True;armada;True;False;True;False;False;892;Rivera;Taminango;True;oldmutual;null
7859409188;Rosa Rodríguez;72;alvarezandrea@example.org;3002128754;True;True;True;False;armada;False;True;True;False;True;942;Calamar;Valdivia;True;extranjero;null
3155570711;José Javier Ortiz;37;juan99@example.com;3199548207;True;True;True;True;policia;False;False;True;False;False;363;Santuario;Lérida;False;colfondos;null
9296127305;Stiven Forero;54;srojas@example.org;3102562917;True;True;False;False;inpec;False;True;False;True;False;771;San Francisco;Puerres;True;proteccion;null
1624548063;José Melo Zapata;47;isalas@example.net;3102480575;False;True;False;False;policia;True;False;False;True;True;1228;Cocorná;Saldaña;True;oldmutual;null
8214270810;Fernanda Andrea Jiménez;30;mantillacarmen@example.org;3017638538;True;False;False;True;minsalud;True;False;False;True;True;1055;Pajarito;Altamira;False;colfondos;null
6889074757;Jorge Cárdenas;24;wramirez@example.net;3104189448;True;False;False;True;armada;False;True;False;True;True;1168;El Carmen de Atrato;Cáceres;True;extranjero;null
2867097229;Ingrid Angie Gutiérrez;70;evega@example.net;3007517145;False;True;False;False;policia;True;True;True;False;True;706;Córdoba;La Tebaida;False;porvenir;null
5147012866;William Iván Jaimes;28;mariaosorio@example.net;3108472275;False;True;True;True;policia;True;True;False;False;False;398;El Roble;San Pedro de los Milagros;False;oldmutual;null
6755660194;Hugo González;22;rodrigoquintero@example.net;3025750462;False;True;False;True;inpec;True;True;False;False;True;138;Totoró;Ricaurte;True;extranjero;null
4596319754;Cristian Muñoz Gutiérrez;31;ruizleonardo@example.com;3098028287;False;True;False;False;mininterior;True;True;True;True;True;51;San Zenón;Chachagüí;False;oldmutual;null
5215058435;Marcela Nidia Rodríguez;61;tatianaoviedo@example.org;3052646592;False;True;False;True;minsalud;False;True;True;True;True;1203;Beltrán;Gachancipá;False;oldmutual;null
2504461456;Andrés Suárez;63;victoria67@example.org;3177666152;True;False;True;False;mininterior;True;False;True;True;True;211;Concordia;San Juanito;False;porvenir;null
3512792145;Esmeralda Mónica Mendoza Calderón;71;miguel97@example.net;3167704248;False;True;True;False;minsalud;True;False;False;False;False;624;Iles;Susa;True;extranjero;null
3401766904;Alberto Rojas Naranjo;33;diazlina@example.net;3177245223;False;False;True;True;minsalud;False;True;False;True;True;244;Pedraza;El Carmen;False;oldmutual;null
7553103958;Diego Samuel Manrique;62;chenao@example.org;3004424903;False;False;True;False;minsalud;False;True;False;True;False;1250;Tuluá;Mercaderes;True;colfondos;null
2645570744;Dary Hernández Torres;57;carmenza63@example.org;3075905046;False;False;False;False;policia;False;True;False;False;False;904;Aguada;Ospina;True;extranjero;null
6614215653;Gabriel Rengifo Rivas;44;lorena38@example.net;3022336397;True;False;False;False;minsalud;False;False;False;True;True;534;Albán;Hacarí;False;oldmutual;null
1155628600;Wilson Guzmán;57;giraldocarlos@example.net;3080780637;False;True;False;True;policia;True;False;False;False;True;324;Malambo;Santa Ana;False;extranjero;null
6243181999;Ivonne Cristina Rincón Velandia;21;hbedoya@example.org;3196148611;False;False;True;True;mininterior;False;True;True;False;False;72;Yaguará;Pana Pana;True;extranjero;null
6119443267;Antonio Jairo Gómez Galeano;24;juantrujillo@example.org;3094815290;False;True;True;True;mininterior;False;False;True;True;False;820;Aratoca;Beltrán;True;extranjero;null
6782105980;Pilar Jaramillo Álvarez;54;mrojas@example.com;3106385017;False;True;False;True;mininterior;True;True;True;True;False;1219;Santa Rosa del Sur;La Vega;False;proteccion;null
4070493682;Liliana Morales Gómez;90;mpineda@example.org;3006537258;True;False;False;True;mininterior;True;False;True;False;False;906;Jericó;Montecristo;False;proteccion;null
6100581578;Cecilia Ortiz;24;jessica42@example.com;3108190769;True;True;True;False;armada;True;True;True;False;True;78;Bogotá, D.C.;El Tarra;False;porvenir;null
7605921480;Jimmy Barragán;28;svanegas@example.com;3108056108;True;False;False;False;armada;False;True;False;False;True;476;Alvarado;Orocué;False;proteccion;null
1227327295;Diana Rodríguez;89;ramirezedgar@example.com;3090870493;True;False;True;False;armada;True;False;True;False;False;138;Leticia;Chaguaní;False;oldmutual;null
4057639045;Patricia Fonseca;76;zapatafernando@example.org;3072086533;True;False;True;True;policia;True;True;True;True;True;755;Guaca;Boyacá;False;porvenir;null
6609650269;Luz Montoya Mosquera;71;dario79@example.net;3165939532;True;False;True;True;armada;True;False;False;False;False;170;Victoria;Hatillo de Loba;False;proteccion;null
8845173428;Edgar Arango;53;jairotovar@example.net;3157913981;False;False;True;True;policia;False;False;False;False;True;852;La Chorrera;Villagarzón;False;porvenir;null
5851305674;Francisco Mauricio García Tovar;25;zrendon@example.com;3080097677;True;True;True;False;armada;True;False;True;False;False;335;Tona;Guatavita;True;oldmutual;null
1351124565;Laura Sandra Montoya Ardila;38;yuliethgomez@example.org;3136843995;True;False;True;False;minsalud;False;True;False;True;True;1178;La Victoria;Puerto Asís;True;extranjero;null
1873606281;Danna Leidy Ramírez;63;camargooscar@example.org;3106145961;True;False;False;False;minsalud;True;True;True;True;False;5;Puerto Colombia;Altos del Rosario;True;extranjero;null
7403324597;Mario Rodríguez;56;elisa55@example.com;3113728471;True;False;True;True;armada;True;True;True;True;True;947;Macanal;San Andrés de Tumaco;False;colfondos;null
